ID,Name,Country,Reason
76561198056958690,bosadjo,International,VAC
76561198010628997,Geo`,International,VAC ban
76561198366950075,Teeex,International,VAC
76561198065487055,skilz71,International,VAC
76561198153119058,flower dance,SouthKorea,Racism
76561198038691694,KrakenTeach,Spain,VAC
76561198090427293,7Liverzuul,International,VAC
76561197963812287,-martin,International,VAC
76561197963812287,-martin,International,Blacklisted
76561198128697175,endyy6,International,VAC
76561198882972479,Fisken,Sweden,VAC
76561198330437261,Anvu,International,Harassment
76561198011980199,danny.,Germany,Wallhack + Triggerbot
76561198363703392,Pandor tred,International,VAC
76561198131997294,akosamenoxd,Hungary,VAC
76561198066656865,misha YB`g,CzechRepublic,VAC banned
76561198066656865,misha YB`g,CzechRepublic,Failure to provide 2 demo requests.
76561198154095665,Ryan_olly,International,VAC
76561198040891432,Broda,France,assisting in ban evasion
76561198040891432,Broda,France,Ban Evasion.
76561198154987827,SlickTF2,International,VAC
76561198042667292,Braeburn In Socks,International,VAC
76561198095117137,MonsterBaseYT,International,VAC
76561198119377831,keleba,International,VAC
76561198123904783,Quacken,UnitedKingdom,VAC
76561198244561444,Pine-a-please?,International,VAC
76561198097174374,GamingMoron,Australia,VAC
76561198378459627,Leonidas,International,VAC
76561198055232997,Athorn,Lithuania,Alternative account of Artasdmc
76561198055232997,Athorn,Lithuania,Blacklisted
76561198121390382,rain?,Japan,VAC
76561198133540172,Bumpy,International,VAC
76561198004420230,Puppy,International,ESP
76561198085650920,General,International,VAC
76561198015390315,ISA,Canada,"ESP, triggerbot"
76561198015390315,ISA,Canada,VAC
76561198415959335,Hare,International,VAC
76561198202485645,Hannes,Sweden,Severe flaming
76561198134512576,lieuty,Lithuania,Toxicity/Harassment
76561198134512576,lieuty,Lithuania,Harassment/Transphobia/Threats
76561198134512576,lieuty,Lithuania,Transphobia
76561198046168684,ThePeteyPiranhaThing,International,VAC
76561198046168684,ThePeteyPiranhaThing,International,VAC
76561198414528638,f4xer,Russia,VAC
76561198021987613,NamoR,Belgium,VAC
76561198075010997,Fizz,England,Double account Zarix
76561198075010997,Fizz,England,Blacklisted
76561197999402792,catman,Russia,Alternative account of Deputy
76561197999402792,catman,Russia,severe flaming
76561197999402792,catman,Russia,Failure to provide 2 demo requests.
76561197999402792,catman,Russia,Blacklisted
76561198106568049,JM,Austria,VAC
76561198147280253,BRat,International,VAC
76561199120819209,Lorax,International,Cheating
76561199120819209,Lorax,International,VAC (after a Cheating League Ban)
76561198412048389,MajorSnowy,International,VAC
76561199054567175,Mr_Witcher,Russia,VAC
76561198069660037,jerkderp,International,VAC Ban
76561198157928640,jeven99,Cyprus,Harassment
76561198157928640,jeven99,Cyprus,Cheating (after a VAC League Ban)
76561198088228731,Koely,International,VAC
76561198034146286,RunningBack,Russia,VAC
76561198195656410,medic,UnitedStates,VAC
76561198913491270,KrabeK,International,VAC
76561198364433811,SRoy,India,VAC
76561198864290948,reishi,Russia,Supporting ban evasion
76561198181562151,irsyadhensem,International,VAC
76561198152276465,Gabbobler,Portugal,VAC
76561199082433078,Gus,International,Cheating
76561198100085700,DJ Dead Babies,International,VAC
76561198061744108,pwrk,Poland,VAC
76561198138944723,clown,Russia,VAC
76561198888624291,Jesige,International,VAC
76561198257066953,wotan jugent1488,International,VAC
76561197980079960,DeDoK,Russia,Second failure to upload demos
76561198007685041,Deket,International,VAC ban
76561198007685041,Deket,International,Blacklisted
76561198366092659,Pamer,International,Doxxing
76561198842729301,мясоROOB'чик,International,VAC
76561198027327653,JNinja,UnitedStates,VAC
76561198154845992,Boneless,Turkey,VAC ban
76561198074773081,hydro,Sweden,VAC
76561198165363447,kirai,Russia,Assisting in ban evasion
76561198155558810,Snissel,International,VAC ban
76561197983093588,Danbuynov,International,VAC
76561198152970694,bl4r,CzechRepublic,VAC
76561197992474134,clyf,Sweden,VAC
76561198106055454,Fender,Russia,Triggerbot
76561198106055454,Fender,Russia,VAC
76561198000675216,csa95,Hungary,VAC Banned
76561198025836830,jordan13121,Belgium,VAC
76561198166913925,voldi,International,VAC
76561198127686058,damoocow,International,VAC
76561198317320080,brudy1969,International,VAC
76561198317320080,brudy1969,International,VAC
76561198048888857,GumiHH,International,VAC
76561198053694636,d!sc0,Poland,match disruption
76561198876124704,al3xtheli0n,England,"Aimbot, VAC"
76561198088630177,Fucio,Italy,Aimbot
76561198197574574,tobitouchixaaa,International,VAC
76561198075916851,quibinary,Ireland,2nd failed demo request
76561197969855130,Flying dutchman,Netherlands,VAC
76561198138496509,Infestation,International,VAC
76561198067631268,Cat_Sloth37,International,VAC
76561198328882090,RightWayForRightWin,European,VAC
76561198138233321,Rob,International,VAC ban
76561197986781451,Bojet,International,VAC
76561198279365814,dancso,International,VAC
76561198161580593,OneVirus,Denmark,multihack
76561198018161356,lazy,Romania,Second Account Lazyshadow
76561199486724280,0NiMe$h1c@,International,Alt Ban Evasion
76561198046978557,Kostil,Russia,Intentionally adding a banned player to 
76561198007799741,Lucek,Poland,VAC
76561198193463719,Onner,Germany,VAC
76561198145770111,Chop,International,VAC ban
76561199184100727,elcyg,Poland,Cheating
76561199184100727,elcyg,Poland,Blacklisted
76561198059472952,melon,International,VAC ban
76561198001279459,Haken.,International,VAC
76561198424114359,Flupoo,International,VAC
76561198129314304,Kumis,Kazakhstan,Racism
76561198129314304,Kumis,Kazakhstan,Failure to provide 3 demo requests
76561198129314304,Kumis,Kazakhstan,Racism
76561198053862468,fuzz3y,International,VAC
76561198058975040,Razzmo,International,VAC
76561198058975040,Razzmo,International,VAC
76561198355338114,BoBcA,Russia,VAC
76561198064359823,Hero,France,vac
76561198105928538,Plat,International,VAC
76561198048123999,Driix,International,VAC
76561198164245973,PoopMaster,International,VAC
76561198050957743,M00NTF2,UnitedKingdom,VAC Ban
76561198074516520,Woona,Spain,Supporting Multiaccount/Fraud
76561197980978423,Oxidi,Finland,VAC
76561198172683427,KRAMPUS,International,VAC
76561198194467977,Monsteroo,Poland,VAC
76561198050490694,Tlasah,Chile,Non-permitted acquisition of profits
76561198159211155,xSuicid3,Poland,VAC
76561198096728932,Kevin,International,VAC
76561198190409217,Ruvik666,International,Aimbot
76561198114819122,aime,International,VAC
76561198142591366,Festive Pancake,International,VAC
76561198022961511,Davy,International,VAC
76561197992750968,exys,Belgium,Second failure to upload demos
76561197992750968,exys,Belgium,Third failure to upload demos
76561198303285481,dr4nk,Russia,VAC ban
76561198164761192,hady,International,VAC
76561197994685496,ss0194001pc89,UnitedStates,VAC
76561198103484240,koskill,International,VAC
76561198035291956,Sugary,Ukraine,alt of izq
76561198035291956,Sugary,Ukraine,Blacklisted
76561199025819364,Shaggy,International,VAC
76561198256073421,justzero,Turkey,VAC
76561198242834532,kraze,England,Racism
76561198005381796,Al_Arctic,Russia,Triggerbot
76561198152875919,Salty Veteran,International,VAC ban
76561198096408180,Banyan,International,Multihack
76561198078631746,BiSkViToN,Russia,VAC
76561199105062966,Duke Reds,Romania,VAC
76561198016839162,yor,Hungary,aimbot
76561198158017691,Zigmas,Lithuania,VAC ban
76561198080679584,OpIsKawaii,UnitedKingdom,VAC
